Purchasing Document,Item,Plant,Name 1,Vendor,Name 1,Address,Street,City,PO Box,P.O. Box Postal Code,Postal Code,Region,Tax Number 1,Tax Number 2,Telephone 1,Telephone 2,Supplying Vendor,Name 1,Address,Street,City,PO Box,P.O. Box Postal Code,Postal Code,Region,Tax Number 1,Tax Number 2,Telephone 1,Telephone 2,Material,Short Text,Material Group,Material Group Desc.,Document Date,Order Quantity,Order Unit,Net Order Price,Price Unit,Net Order Value,Purchasing Doc. Type,Currency,Deletion Indicator,Material Type
4500902960,50,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1207154,"BX,PL,USF,PCBAC,10.25X10.125X3.25",P0208,Box-RSC,1/15/21,"3,000.000",EA,244.76,"1,000",734.28,NB,USD,,ZPKG
4500902960,60,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1207174,"BX,PL,SBWY,BAC,FLCK,THKSLC27384",P0208,Box-RSC,1/15/21,"1,500.000",EA,362.35,"1,000",543.53,NB,USD,,ZPKG
4500902960,70,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1207015,"BX,PLN,15X9X5.5",P0208,Box-RSC,1/15/21,"7,500.000",EA,265.26,"1,000","1,989.45",NB,USD,,ZPKG
4500902960,80,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P0321754,"BX,14X93/4X21/2,PRT,GOLDEN CRISP,BACON",P0208,Box-RSC,1/15/21,"2,100.000",EA,320.31,"1,000",672.65,NB,USD,,ZPKG
4500916584,120,1230,"SFD-Clinton, NC",1002826,BUNZL PROCESSOR DISTRIBUTION LLC,83078,528 E 19TH AVE,NORTH KANSAS CITY,0,0,64116-3614,MO,0,44-0580496,800-456-5024,816-448-6250,500975,BUNZL PROCESSOR-KANSAS CITY MO,91161,11201 NW AIRWORLD DR,KANSAS CITY,0,0,64116-3614,MO,0,44-0580496,800-456-5024,816-448-6250,L53540,"07979038,SQUINCHER,2.5 GAL,ASSRTD",M0926,INDUSTRIAL SUPPLIES,2/1/21,1,CS,81.79,1,81.79,NB,USD,,ZOPS
4500918374,10,1253,"SFD-Wilson, NC",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1081,"BX,12CC",P0208,Box-RSC,2/2/21,"2,000.000",EA,410.83,"1,000",821.66,NB,USD,,ZPKG
4500918374,60,1253,"SFD-Wilson, NC",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P0321271,"BACN,VAC,REG,SMFD,CLUBPK,8/3-16OZ",P0205,Box-Display,2/2/21,"2,000.000",EA,593.67,"1,000","1,187.34",NB,USD,,ZPKG
4500918374,110,1253,"SFD-Wilson, NC",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P0321330,"DIVIDER,BX,COSTCO",P0206,Box-Divder/Pad/Insrt,2/2/21,"4,800.000",EA,110.96,"1,000",532.61,NB,USD,,ZPKG
4500938105,10,1271,"SFD-Arnold, PA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500518,WRKCO INC-SIOUX CITY SOUTH,102604,2300 BRIDGEPORT DR,SIOUX CITY,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1033194,"BX,12LB KRAFT RSC32 - AE",P0208,Box-RSC,2/25/21,"1,440.000",EA,302.22,"1,000",435.20,NB,USD,,ZPKG
4500938105,20,1271,"SFD-Arnold, PA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500518,WRKCO INC-SIOUX CITY SOUTH,102604,2300 BRIDGEPORT DR,SIOUX CITY,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1033191,"BX,10 LB KRAFT RSC ECT32,PCA(0322029)",P0208,Box-RSC,2/25/21,"1,800.000",EA,279.50,"1,000",503.10,NB,USD,,ZPKG
4500938105,30,1271,"SFD-Arnold, PA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500518,WRKCO INC-SIOUX CITY SOUTH,102604,2300 BRIDGEPORT DR,SIOUX CITY,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1034188,"BX,PLN,15 3/8X11 5/8X9.25",P0208,Box-RSC,2/25/21,"5,175.000",EA,468.38,"1,000","2,423.87",NB,USD,,ZPKG
4500938105,40,1271,"SFD-Arnold, PA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500518,WRKCO INC-SIOUX CITY SOUTH,102604,2300 BRIDGEPORT DR,SIOUX CITY,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P0321447,"CBO,REUSE,W/LINER,45'08X37'06X41",P0201,Box-Combo,2/25/21,24.000,EA,"34,808.55","1,000",835.41,NB,USD,,ZPKG
4500938105,50,1271,"SFD-Arnold, PA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500518,WRKCO INC-SIOUX CITY SOUTH,102604,2300 BRIDGEPORT DR,SIOUX CITY,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1034189,"BX,PLN,17 3/8X11.75X6.25",P0208,Box-RSC,2/25/21,"4,500.000",EA,436.15,"1,000","1,962.68",NB,USD,,ZPKG
4500957348,10,1275,"SFD-Kansas City, MO",1005203,ENGINEERED SALES INC,98772,18 PROGRESS PKWY,MARYLAND HEIGHTS,0,0,63043-3782,MO,0,34-1822449,314-878-4500,0,500563,ENGINEERED SALES INC,90115,1226 SWIFT AVE,NORTH KANSAS CITY,0,0,63043-3782,MO,0,34-1822449,314-878-4500,0,M1312714,"HOSE,HYD,5KPSI,1580MM,9/16JIC,90XSTR,#12",M0303,PIPE/VALVE/FITTINGS,3/19/21,1.000,EA,58.15,1,58.15,NB,USD,,ZXPT
4500962100,10,1235,"SFD-Denison, IA",1002950,CRYOVAC A SEALED AIR CORP PACKAGING,83831,100 ROGERS BRIDGE RD,DUNCAN,0,0,29334-9731,SC,0,13-5114230,800-845-7551,0,500306,CRYOVAC INC,101878,1301 W MAGNOLIA AVE,IOWA PARK,0,0,29334-9731,SC,0,13-5114230,800-845-7551,0,P1036263,"BAG,PLN,5.5X19,USDA,2.0MIL",P0104,Bags-Shrink Boneless,3/25/21,"10,000.000",EA,85.79,"1,000",857.90,NB,USD,,ZPKG
4500978615,10,1268,"SFD-Springdale, OH",1000333,MOUNTAIRE FARMS INC,83219,0,MILLSBORO,1320,19966,19966,DE,0,52-1102676,302-436-8241,0,500005,MOUNTAIRE FARMS INC,77638,17269 NC HIGHWAY 71,LUMBER BRIDGE,1320,19966,19966,DE,0,52-1102676,302-436-8241,0,90027815900717,"RAW,CKN,VAR,MSC,FRSH,CBO,RW",R0201,Chicken MSC,4/14/21,23,CBO,21.25,100,"8,797.50",NB,USD,,ZFIN
4501045393,10,5311,"Crossroads CS-Des Moines, IA",2568,PINE RIDGE FARMS,3191265,1800 MAURY ST,DES MOINES,0,0,50317-1047,IA,0,46-2679590,816-891-9600,0,500929,PINE RIDGE,101429,1801 MAURY ST,DES MOINES,0,0,50317-1047,IA,0,46-2679590,816-891-9600,0,90070247168705,"HAM,PK,BNLS,INSIDES,POLY,(EXP),Z",F0527,Hams,7/8/21,333,CS,167.34,100,"25,187.35",NB,USD,,ZFIN
4501045393,20,5311,"Crossroads CS-Des Moines, IA",2568,PINE RIDGE FARMS,3191265,1800 MAURY ST,DES MOINES,0,0,50317-1047,IA,0,46-2679590,816-891-9600,0,500929,PINE RIDGE,101429,1801 MAURY ST,DES MOINES,0,0,50317-1047,IA,0,46-2679590,816-891-9600,0,90070247168712,"HAM,PK,BNLS,OUT,POLY,(EXP),Z",F0527,Hams,7/8/21,333,CS,167.34,100,"22,568.31",NB,USD,,ZFIN
4501140828,40,1219,"SFD-Milan,MO",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,501042,DELIVERY NETWORK,331497,1000 ACCESS BLVD,MADISON,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P0321967,"BX,PNT,HS,WHT,BELLY,TXFARM",P0203,Box-Die Cut Hand Set,11/2/21,500.000,EA,"2,000.80","1,000","1,000.40",NB,USD,L,ZPKG
4501140828,110,1219,"SFD-Milan,MO",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,501042,DELIVERY NETWORK,331497,1000 ACCESS BLVD,MADISON,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1031725,"BX,PNT,13 13/16X11X3 7/8,JAPANESE",P0203,Box-Die Cut Hand Set,11/2/21,550.000,EA,710.39,"1,000",390.71,NB,USD,L,ZPKG
4501155099,10,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1507024A,"BX,12PAK,12.125X9.625X6.25,RTE BCN",P0208,Box-RSC,11/18/21,"15,000.000",EA,249.41,"1,000","3,741.15",NB,USD,,ZPKG
4501155099,20,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P0322054A,"BOX,BACN,PRNT,SMFD CLNRY",P0208,Box-RSC,11/18/21,"3,750.000",EA,239.96,"1,000",899.85,NB,USD,,ZPKG
4501155099,30,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1207020,"BX,143/8X101/8X31/4,PLN,21207020",P0208,Box-RSC,11/18/21,"9,000.000",EA,282.47,"1,000","2,542.23",NB,USD,,ZPKG
4501155099,40,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1207015,"BX,PLN,15X9X5.5",P0208,Box-RSC,11/18/21,"3,000.000",EA,265.26,"1,000",795.78,NB,USD,,ZPKG
4501162143,160,1234,"SFD-Crete,NE",1002826,BUNZL PROCESSOR DISTRIBUTION LLC,83078,528 E 19TH AVE,NORTH KANSAS CITY,0,0,64116-3614,MO,0,44-0580496,800-456-5024,816-448-6250,500975,BUNZL PROCESSOR-KANSAS CITY MO,91161,11201 NW AIRWORLD DR,KANSAS CITY,0,0,64116-3614,MO,0,44-0580496,800-456-5024,816-448-6250,L1227502,"BLADE,SKINNER,STL,3-3/4X7/8,100/PK,95881",M0521,KNIVE/BLADE/SHARPNER,11/30/21,8.000,PAC,27.98,1,223.84,NB,USD,,ZOPS
4501165874,10,1232,"SFD-Sioux Falls, SD",1002393,AMCOR FLEXIBLES NORTH AMERICA INC,97866,0,CHARLOTTE,75100,28275-0100,28275,NC,0,43-0178130,812-466-2216,813-460-6370,501054,AMCOR FLEXIBLES-DES MOINES,432062,1500 E AURORA AVE,DES MOINES,75100,28275-0100,28275,NC,0,43-0178130,812-466-2216,813-460-6370,P0361199,"FILM,CLR,NF,RP,LBRD TUX,3.5MLX610MM",P0405,Film-NonForming Pln,12/3/21,"160,000.000",IMP,25.78,"1,000","4,124.80",NB,USD,,ZPKG
4501165874,20,1232,"SFD-Sioux Falls, SD",1002393,AMCOR FLEXIBLES NORTH AMERICA INC,97866,0,CHARLOTTE,75100,28275-0100,28275,NC,0,43-0178130,812-466-2216,813-460-6370,501054,AMCOR FLEXIBLES-DES MOINES,432062,1500 E AURORA AVE,DES MOINES,75100,28275-0100,28275,NC,0,43-0178130,812-466-2216,813-460-6370,P0361200,"FILM,CLR,FRM,RP,LBRD TUX,3.0MLX630MM",P0403,Film-Forming Pln,12/3/21,"160,000.000",IMP,26.42,"1,000","4,227.20",NB,USD,,ZPKG
4501175778,10,1211,"SFD-Tarheel,NC",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500518,WRKCO INC-SIOUX CITY SOUTH,102604,2300 BRIDGEPORT DR,SIOUX CITY,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P41151,"BX,PLN,END,CE,#3 W/1042381&1042102",P0202,Box-Die Cut Case Erc,12/16/21,"3,680.000",EA,170.95,"1,000",629.10,NB,USD,,ZPKG
4501194267,10,1266,"SFD-Curlys Sioux City, IA",1002393,AMCOR FLEXIBLES NORTH AMERICA INC,97866,0,CHARLOTTE,75100,28275-0100,28275,NC,0,43-0178130,812-466-2216,813-460-6370,500193,AMCOR FLEXIBLES-OSKOSH,99066,3550 N MAIN ST,OSHKOSH,75100,28275-0100,28275,NC,0,43-0178130,812-466-2216,813-460-6370,P0361231,"FILM,FRM,PLN,463MMX2001,10MIL",P0403,Film-Forming Pln,1/12/22,69.000,ROL,378.54,1,"26,119.26",NB,USD,,ZPKG
